title,author,first_publish_year,edition_count,subject,subject_people,subject_places,subject_times,language,series,number_of_pages_median,publisher,publish_place,ratings_count,ratings_average
Foundation,Isaac Asimov,1951.0,97,"Psychohistory, Open Library Staff Picks, Life on other planets, Fiction, Science Fiction, Long Now Manual for Civilization, Prophecy, Historians, Robots, Fiction, science fiction, general, American literature, American Fantasy fiction, Vie extraterrestre, Romans, nouvelles, Psychohistoire, Psychological fiction, American Science fiction, Hari Seldon (Fictitious character)","Hari Seldon (Fictitious character), Hober Mallow (Fictitious character), Salvor Hardin (Fictitious character)",,,"ger, eng, kor, por, spa, rus, chi, fre, ita",Foundation (3),240.0,f,New York,288,4.097222222222222
Ficciones,Jorge Luis Borges,1945.0,78,"Anachronisms, speculative fiction, subjective idealism, duodecimals, aneurysms, adjectives, hermeticism, philanthropy, cabala, persecution, Social life and customs, Spanish language books, Readers, Translations into English, Spanish language, Fiction, Spanish fiction, Modern fiction, Literary Criticism, Fiction - General, General, Fiction (fictional works by one author), Borges, jorge luis, 1899-1986, Latin american literature, translations into english, Romance literature, CUENTOS ARGENTINOS, Spanish fiction in Spanish, Italian language materials, Argentine Short stories, Manners and customs, Nouvelles argentines, Spanish Short stories, Argentine Science fiction, Novela, Vida social y costumbres, Short stories","Jorge Luis Borges, Adolfo Bioy Casares, Herbert Ashe, Ezra Buckley, Jesus Christ, Faucigny Lucinge","Argentina, Tlön, Uqbar, Orbis Tertius, Buenos Aires, Lucerne, London, United States","20th century, 1935-1947, 17th century, 1947, 1940, 1941, 1942, 1944","eng, spa, por, ita, fre",Obras completas de Jorge Luis Borges,196.0,"Orion Publishing Group, Limited",,37,4.4324324324324325
Dracula,Bram Stoker,1897.0,735,"English literature, Fiction, Horror, Horror stories, Horror tales, Monsters, Thriller, Vampires, Vampires in literature, Horror fiction, Irish authors, Epistolary novels, Romanians, British, Psychological fiction, Textbooks for foreign speakers, Readers for new literates, Romania, fiction, England, fiction, Vampires, fiction, Fiction, horror, Dracula, count (fictitious character), fiction, British and irish fiction (fictional works by one author), Fiction, fantasy, general, Adaptations, Fiction, gothic, Dictionaries, French, German, Spanish, Literature, Stoker, bram, 1847-1912, Horror tales, history and criticism, Fiction, psychological, Fiction, historical, general, Film and video adaptations, English Horror tales, History and criticism, County Dracula (Fictitious character), Vampiros, Novela, Dracula (Personaje literario), 18.05 English literature, Count Dracula (Fictional character), Fiction, ghost, Literature, study and teaching, Irish fiction, Dracula (Stoker), Dracula i litteraturen, Dracula (Stoker, Bram), Literary criticism, Gothic literature, British and irish drama (dramatic works by one author), Dracula, count (fictitious character), drama, English language, rhetoric, Science fiction, fantasy, horror, Drama, Science fiction, Romans, nouvelles, Classics, Action & adventure, Temples, Legends, Religion, Long Now Manual for Civilization, Criticism and interpretation","Count Dracula (fictitious character), Bram Stoker (1847-1912), Dracula Count (Fictitious character), Dracula, Conde (Personaje literario), Dracula, Count (Fictitious character), Van Helsing","Transilvania (Rumania), Transylvania (Romania), Whitby (England), Romania, Transylvania, England, Whitby",19th century,"glg, pol, alb, dut, spa, cat, ita, por, gle, hun, eng, ger, tur, rus, chi, fre",Libro amigo,410.0,,,174,4.028735632183908
The Last Man,Mary Shelley,1826.0,383,"Fiction, Plague, Twenty-first century, End of the world, British and irish fiction (fictional works by one author), Fiction, fantasy, general, Fiction, science fiction, general, English literature, Twenty-first century -- Fiction, End of the world -- Fiction, Plague -- Fiction, Long Now Manual for Civilization",,,21st Century,"eng, ita, ger","Women's Studies Archive: Rare Titles from the American Antiquarian Society, 1820-1922",254.0,H. Colburn,London,8,3.5
Beloved,Toni Morrison,1987.0,104,"African American History, Ohio, History, 19th century, Fiction, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, 1000blackgirlbooks, African American women, Infanticide, African Americans, Slavery, Women slaves, Race Relations, African Continental Ancestry Group, Modern Literature, Sklaverei, Psychische Verarbeitung, Historical fiction, Social conditions, Schwarze, American fiction (fictional works by one author), Ohio, fiction, African americans, fiction, Slaves, fiction, Fiction, historical, Large type books, National Black Family Month, nyt:combined-print-and-e-book-fiction=2019-08-25, New York Times bestseller, Fiction, historical, general, Crime, fiction, American literature, collectionID:EanesChallenge, Noires américaines, Romans, nouvelles, Femmes esclaves, Literary, Enslaved Persons, Women, collectionID:bannedbooks, African american women--fiction, Women slaves--fiction, Infanticide--fiction, Ps3563.o8749 b4 2000, 813/.54, Afro-americans, Literary collections, Trials, litigation",,"Ohio, United States","19th century, To 1964","kor, pol, swe, spa, jpn, ita, chi, rus, eng, ger, tur, fre",Plume contemporary fiction,321.0,Alfred A. Knopf,New York,70,3.942857142857143
The Time Machine,H. G. Wells,1895.0,1154,"Self-experimentation in medicine in fiction, Fiction, Time travel in fiction, Dystopias in fiction, Literature, Scientists, Classic Literature, Open Library Staff Picks, Scientists in fiction, Space warfare, Self-experimentation in medicine, open_syllabus_project, English Science fiction, Dystopias, Time travel, Science fiction, Animal experimentation in fiction, Juvenile fiction, Comic and Graphic Books, Animal experimentation, Space warfare in fiction, Graphic novels, Comics & Graphic Novels, General, FICTION / Classics, Movie novels, FICTION / Science Fiction / Time Travel, Science fiction time travel, Children's fiction, Time travel, fiction, British and irish fiction (fictional works by one author), Fiction, science fiction, general, Fiction, dystopian, Fiction, action & adventure, Literature and fiction, science fiction, Cartoons and comics, Space and time, fiction, Short stories, English fiction, Texts, Easy reading materials, Space and time, Child and youth fiction, Comics & graphic novels, science fiction, Comics & graphic novels, literary, English literature, Coloring books, Color, juvenile literature, Adaptations, Comic books, strips, Inventors, Imaginary wars and battles, Science-fiction, Romans, Voyages dans le temps, Romans, nouvelles, etc. pour la jeunesse, Fiction, historical, general, Dictionaries, English language, Spanish, German, French, Korean, Time machine (Wells, H. G.), Fantasy fiction, Fiction, psychological, Scientists, fiction, Romans, nouvelles, Dystopies, Viaje a través del tiempo, Novela, Ciencia-ficción, Distopías, Wells, h. g. (herbert george), 1866-1946, Fiction, general, Time travel -- Fiction, Space and time -- Fiction, Voyages dans le temps -- Romans, nouvelles, etc, Long Now Manual for Civilization","Eloi, Morlocks, Weena, H. G. Wells (1866-1946)",England,"Victorian Era, 802701","rus, eng, ger, und, chi, ita, spa, tam, epo, fre, por, pol",Universale Economica,121.0,,xx,109,3.889908256880734
The Invisible Man,H. G. Wells,0.0,563,"Ciencia-ficción, Classic Literature, Fiction, Mentally ill, Science Fiction & Fantasy, Science fiction, Scientists, English Science fiction, Experiments, Adaptations, Time travel, British and irish fiction (fictional works by one author), England, fiction, Scientists, fiction, Children's fiction, Mystery and detective stories, Literature and fiction, science fiction, Fiction, science fiction, general, English literature, English fiction, history and criticism, 20th century, Wells, h. g. (herbert george), 1866-1946, FICTION / Classics, FICTION / Science Fiction / General, FICTION / Horror, Juvenile fiction, Science, Roman pour la jeunesse, Comic and Graphic Books, Cartoons and comics, Comic books, strips, Animal experimentation, English language, French, Korean, German, Fiction, general, Fiction, historical, general, Elementary education of adults, Reading, remedial teaching, Spanish language, Readers, Horror tales, Psychological fiction, Scientists -- Fiction, Mentally ill -- Fiction, Science -- Experiments -- Fiction, Science -- Experiments, Long Now Manual for Civilization",H. G. Wells (1866-1946),,19th century,"rus, eng, ger, chi, ita, spa, mon, fre, por, cat",Universale Economica,160.0,Penguin Select Classics,,101,3.8118811881188117
Dune,Frank Herbert,1965.0,121,"Dune (Imaginary place), Fiction, Fiction, science fiction, general, Dune (imaginary place), fiction, New York Times reviewed, Science fiction, Science-fiction, American literature, nyt:mass-market-monthly=2021-11-07, New York Times bestseller, award:nebula_award=novel, nyt:trade-fiction-paperback=2021-11-07, Hugo Award Winner, award:hugo_award=1966, award:hugo_award=novel, American Science fiction, Long Now Manual for Civilization, Ecology, Fantasy fiction",,,,"pol, spa, gre, por, rus, eng, ger, fre",Dune (1),592.0,Ace Books,New York,404,4.2995049504950495
Мы,"Евгений Иванович Замятин, Gary Kern, Alejandro Ariel González, Tavo Montañez, Sergio Hernández-Ranera Sánchez, Gregory Zilboorg, Alexander Glinka",1924.0,210,"Literature: Texts, Untranslated Fiction - General, Literature - Classics / Criticism, Literary Criticism, Russian & Former Soviet Union, Fiction, science fiction, general, Fiction, dystopian, Classic Literature, Fiction, Science Fiction, Political fiction, Dystopias, Russian fiction, Russian prose, totalitarianism, Russian satire, dystopia, Russian language materials, Authoritarianism, Modern fiction, Russian Novel And Short Story, Literary, Fiction / Literary, Continental european fiction (fictional works by one author), Corrupt practices, Political science, Electronic surveillance, Criticism and interpretation, Fiction, general, Soviet union, fiction, Biography, My (Zami︠a︡tin, Evgeniĭ Ivanovich), Science fiction, Russian, Russian Science fiction, Group identity, Pg3476.z34 m913 1983, Russian fiction--20th century, Satire, russian, Totalitarianism and literature, Pg3476.z34 m913 2006, 891.73/42, Fiction, romance, general, Translations into English, Utopias, Dystopias - Fiction","Evgeniĭ Ivanovich Zami︠a︡tin (1884-1937), Dmitriĭ Dmitrievich Shostakovich (1906-1975)","Soviet Union, Wallsend, Tyneside","Early 20th century, 20th century","est, pol, eng, fre, rus, chi, spa, srp","A Dutton paperback, D39",223.0,E. P. Dutton,New York,41,4.024390243902439
A Room of One's Own,Virginia Woolf,1929.0,303,"Authorship, Economic conditions, Feminism, Feminist theory, Femmes, Femmes dans la littérature, Femmes écrivains, Histoire, Histoire et critique, History, History and condition of women, History and criticism, Literature, Peace, Roman anglais, Sex differences, Social conditions, Theory, War, Women, Women and literature, Women authors, Women in art, Women in literature, Écrivaines, Mujeres, Mujeres en Gran Bretaña, Historia y condición de las mujeres, British Women authors, Literature, modern, history and criticism, 20th century, Literature, women authors, Women, great britain, Women, economic conditions, Women, social conditions, l, Large type books, Femmes et littérature, Conditions économiques, Conditions sociales, Écrits de femmes, Théorie, Art d'écrire, Différences entre sexes, FICTION, General, English fiction, Woolf, virginia, 1882-1941, Fiction, history and criticism, Fiction, women authors, history and criticism, English literature, Literature, history and criticism, Philosophy, British and irish fiction (fictional works by one author)",Virginia Woolf (1882-1941),"Grande-Bretagne, Great Britain, England",,"heb, fre, ger, pol, kor, spa, cat, dan, dut, chi, ita, jpn, eng, tur",,124.0,,,27,4.185185185185185
